Designator,Mid X,Mid Y,Rotation,Layer
BZ201,97.653431,-91.785,0.0,top
C101,85.455,-42.995,0.0,top
C102,106.549698,-72.185,0.0,top
C201,86.999698,-83.735,0.0,top
C202,109.195,-86.165,0.0,top
C203,86.999698,-93.285,0.0,top
C301,130.035,-66.595,0.0,top
C302,126.689698,-60.565,0.0,top
C303,135.115,-62.185,0.0,top
C304,135.115,-65.195,0.0,top
C401,130.035,-96.815,0.0,top
C402,126.689698,-90.785,0.0,top
C403,135.115,-92.405,0.0,top
C404,135.115,-95.415,0.0,top
C501,158.725,-66.595,0.0,top
C502,155.379698,-60.565,0.0,top
C503,163.805,-62.185,0.0,top
C504,163.805,-65.195,0.0,top
C601,158.725,-96.815,0.0,top
C602,155.379698,-90.785,0.0,top
C603,163.805,-92.405,0.0,top
C604,163.805,-95.415,0.0,top
C701,149.485,-116.595,0.0,top
C702,149.485,-119.105,0.0,top
C703,149.485,-121.615,0.0,top
D101,95.18,-43.685,0.0,top
D201,102.24,-108.85,0.0,top
J101,89.955,-44.065,0.0,top
J102,89.955,-61.415,0.0,top
Q201,102.265,-105.11,0.0,top
Q301,125.415,-67.74,0.0,top
Q401,125.415,-97.96,0.0,top
Q501,154.105,-67.74,0.0,top
Q601,154.105,-97.96,0.0,top
R101,85.455,-45.505,0.0,top
R102,85.455,-48.015,0.0,top
R103,85.455,-50.525,0.0,top
R104,85.455,-53.035,0.0,top
R105,85.455,-55.545,0.0,top
R106,85.455,-58.055,0.0,top
R107,85.455,-60.565,0.0,top
R108,85.455,-63.075,0.0,top
R201,94.645,-103.705,0.0,top
R202,94.645,-105.695,0.0,top
R203,109.195,-88.675,0.0,top
R204,109.195,-91.185,0.0,top
R205,94.645,-107.685,0.0,top
R207,94.645,-109.675,0.0,top
R208,109.195,-93.695,0.0,top
R301,139.145,-61.675,0.0,top
R302,139.145,-63.665,0.0,top
R303,137.235,-58.235,0.0,top
R304,139.145,-65.655,0.0,top
R401,139.145,-91.895,0.0,top
R402,139.145,-93.885,0.0,top
R403,137.235,-88.455,0.0,top
R404,139.145,-95.875,0.0,top
R501,167.835,-61.675,0.0,top
R502,167.835,-63.665,0.0,top
R503,165.925,-58.235,0.0,top
R504,167.835,-65.655,0.0,top
R601,167.835,-91.895,0.0,top
R602,167.835,-93.885,0.0,top
R603,165.925,-88.455,0.0,top
R604,167.835,-95.875,0.0,top
R701,157.385,-103.175,0.0,top
R702,157.385,-105.165,0.0,top
R703,157.385,-107.155,0.0,top
R704,157.385,-109.145,0.0,top
R705,157.385,-111.135,0.0,top
R706,157.385,-113.125,0.0,top
R707,160.635,-103.175,0.0,top
R708,160.635,-105.165,0.0,top
R709,160.635,-107.155,0.0,top
R710,160.635,-109.145,0.0,top
R711,160.635,-111.135,0.0,top
R712,160.635,-113.125,0.0,top
R713,163.885,-103.175,0.0,top
R714,163.885,-105.165,0.0,top
R715,163.885,-107.155,0.0,top
R716,163.885,-109.145,0.0,top
SW101,94.305,-70.345,0.0,top
SW102,95.055,-57.28,0.0,top
SW103,95.055,-63.545,0.0,top
SW201,85.39,-99.52,0.0,top
U102,107.055,-61.685,0.0,top
U201,106.79,-108.11,0.0,top
U301,136.665,-50.115,0.0,top
U302,136.77,-44.12,0.0,top
U401,136.665,-80.335,0.0,top
U402,136.77,-74.34,0.0,top
U501,165.355,-50.115,0.0,top
U502,165.46,-44.12,0.0,top
U601,165.355,-80.335,0.0,top
U602,165.46,-74.34,0.0,top
U701,159.985,-120.015,0.0,top
U702,151.535,-105.535,0.0,top
U703,151.535,-112.115,0.0,top
